Instrument ID,Image Filename,Image Citation,Instrument Name,Instrument Description,Instrument Uses,Other Names,Image URL
55,55_fistula probe.png,"Surtex Instruments.com. (2023, October 30). SURTEX® Lockhart-Mummery Fistula Probe - Blunt Tip. https://surtex-instruments.com/product/lockhart-mummery-fistula-probe/",Fistula Probe,"A long, slender, slightly curved metal instrument with a blunt, rounded tip, sometimes featuring a small eyelet or groove at the end. It is designed to explore, trace, and assess the depth and direction of a fistulous tract.","Identifying and tracing the path of a fistula before surgical excision. Assessing the depth, length, and complexity of a fistula tract.","Fistula Director, Grooved Probe, Seton Probe","https://surtex-instruments.com/product/lockhart-mummery-fistula-probe/
"
56,56_director with probe tip.png,"Premium Medical Devices – Designed for Precision, Built for Performance. (2021, April 18). Director, W/ Probe Tip & Tongue - Surgivalley: leading surgical instruments & medical device manufacturer. Surgivalley: Leading Surgical Instruments & Medical Device Manufacturer. https://surgivalley.com/product/director-w-probe-tip-tongue/",Director with Probe Tip,"A thin, metal instrument with a blunt, probe-like tip on one end and a flat, grooved surface on the other. It is designed to guide surgical instruments along a specific path while protecting surrounding tissue. The groove allows for the safe passage of a scalpel or other cutting instruments to ensure a precise incision.",Guiding the incision along fistulous tracts during fistulotomy or fistulectomy. Exploring and identifying the direction of a sinus or fistula before surgical intervention. Preventing accidental tissue damage by directing sharp instruments safely.,"Grooved Director, Probe-Tipped Director, Fistula Probe with Groove",https://surgivalley.com/product/director-w-probe-tip-tongue/
57,57_curette.png,"Sklar Surgical Instruments. (n.d.). 90-5602 Sklar® Bumm Uterine Curette - 13-1/2, #14 (30mm), sh. . . Sklar Surigical Equipement. https://www.sklarcorp.com/p/sklar-bumm-uterine-curette/90-5602",Curette,"A long, slender instrument with a looped or spoon-shaped tip, designed for scraping and removing granulation tissue, necrotic debris, and infected material from the fistulous tract. It may have a sharp or blunt edge, depending on the extent of tissue removal required.",Scraping and cleaning the fistulous tract to remove unhealthy tissue. Ensuring complete excision of infected or granulated tissue before wound closure. Preventing recurrence of the fistula by thoroughly debriding the area.,"Surgical Curette, Scraping Instrument","https://www.sklarcorp.com/p/sklar-bumm-uterine-curette/90-5602
"
58,58_ sinus forceps.png,"Surtex Instruments.com. (2024c, March 14). SURTEX® Lister Sinus Forcep - Straight Jaws Profile. https://surtex-instruments.com/product/lister-sinus-forcep/",Sinus Forceps,"Are long, slender, curved or straight surgical instruments with a blunt, slightly serrated tip, designed for exploring, grasping, and removing debris or foreign bodies from sinus tracts, abscesses, or deep wounds.","Exploring sinus tracts and fistulae to assess depth and direction. Removing pus, foreign bodies, or necrotic tissue from infected wounds or abscesses.","Dressing Forceps, Bozeman Forceps, Tilley’s Sinus Forceps",https://surtex-instruments.com/product/lister-sinus-forcep/
59,59_dilator.png,Wexler Surgical. (n.d.-a). Garrett Vascular Dilators | Stainless steel | Surgical Inst. https://www.wexlersurgical.com/garrett-vascular-dilators-125mm-tip-round-handle-stainless-steel-825quot-21cm-p-430.html?type=search-instrument-type,Dilator,"A stiff, tapered, cylindrical instrument made of plastic or metal, designed to gradually expand the vessel entry site after guidewire placement. It features a smooth, tapered tip to minimize trauma and facilitate the passage of a large-bore catheter.","Enlarging the percutaneous entry site after the guidewire has been placed. Facilitating the insertion of central venous catheters (CVCs), hemodialysis catheters, or introducer sheaths. Reducing vessel trauma by ensuring a controlled and gradual dilation.","Vessel Dilator, Percutaneous Dilator, Introducer Dilator","https://www.wexlersurgical.com/garrett-vascular-dilators-125mm-tip-round-handle-stainless-steel-825quot-21cm-p-430.html?type=search-instrument-type
"
60,60_introducer needle.png,"Admin. (2023, September 29). Introducer Needle - MediTech Devices. Meditech Devices. https://meditechdevices.com/introducer-needle/",Introducer Needle,"A thin, hollow, beveled-tip needle designed for percutaneous vascular access. It is typically short and sturdy, allowing for precise puncture of veins or arteries.",Puncturing the internal jugular (IJ) vein to establish vascular access. Allowing the insertion of a guidewire for central venous catheter (CVC) placement. Facilitating hemodialysis catheter or introducer sheath placement.,"Percutaneous Needle, Seldinger Needle, Vascular Access Needle","https://meditechdevices.com/introducer-needle/
"
61,61_guidewire.png,Guidewires - Urology. (n.d.). Olympus Canada | Medical. https://medical.olympuscanada.com/products/guidewires-urology-0,Guidewire,"A thin, flexible, metallic wire with a soft, flexible tip to prevent vessel injury. It is designed to navigate through blood vessels and provide a pathway for the insertion of catheters, dilators, or other medical devices.","Facilitating the insertion of central venous catheters (CVCs), hemodialysis catheters, and introducer sheaths. Used in the Seldinger technique to maintain vascular access while replacing needles with larger devices.","Seldinger Wire, Vascular Guidewire, Introducer Wire",https://medical.olympuscanada.com/products/guidewires-urology-0
62,62_central venous catheter.png,"Bactiguard. (2024, September 5). Central Venous Catheter with infection prevention technology. https://www.bactiguard.com/medical-devices/intensive-care/bip-central-venous-catheter/",Central Venous Catheter,"A long, flexible, sterile tube that is inserted into a large central vein, such as the internal jugular (IJ), subclavian, or femoral vein. It is available in single, double, triple, or multiple lumens, allowing simultaneous administration of medications, fluids, and blood products.","Administering medications, fluids, and total parenteral nutrition (TPN). Facilitating central venous pressure (CVP) monitoring in intensive care settings. Providing long-term vascular access for chemotherapy or dialysis. Performing rapid fluid resuscitation in emergency and surgical settings. Enabling blood sampling without repeated peripheral venipunctures.","Central Line, Central Venous Access Catheter, Central Venous Cannula",https://www.bactiguard.com/medical-devices/intensive-care/bip-central-venous-catheter/
63,63_ring curette.png,"Ring Curette | 10 1/4"" (260mm) #6 - OrthoMed Surgical Tools. (n.d.). https://orthomedinc.com/surgical-instruments/bone-curettes/bone-curettes/ring-curette-10-1-4-260mm-6",Ring Curette,"A surgical instrument with a circular or oval-shaped blade with a sharp edge.
Ring curettes come in various sizes and angles.","Used for scraping or removing tissue, particularly within bony cavities or lesions.","Curette, Ring Curette, Bone Curette",https://orthomedinc.com/surgical-instruments/bone-curettes/bone-curettes/ring-curette-10-1-4-260mm-6
64,64_sharp spoon curette.png,"ARO Surgical. (n.d.). Volkmann bone curette, oblong cup 7mm. https://www.arosurgical.com/volkmann-bone-curette-oblong-cup-7mm/",Sharp Spoon Curette,A surgical instrument with a spoon-shaped blade with a sharp edge. Sharp spoon curettes are available in different sizes and curvatures.,"Used for scraping or removing tissue, often in tighter or more delicate spaces than a ring curette.","Curette, Spoon Curette, Sharp Curette",https://www.arosurgical.com/volkmann-bone-curette-oblong-cup-7mm/
65,65_doyen intestinal clamp.png,Amazon.in. (n.d.). https://www.amazon.in/FusionKraft-Intestinal-Non-Crushing-Atraumatic-Longitudnal/dp/B0BS1JSSBX,Doyen Intestinal Clamp,"A lightweight, non-crushing clamp with long, smooth or finely serrated jaws designed to temporarily occlude the intestines without damaging tissue.","Used in bowel surgeries, such as resections, to gently hold and isolate intestinal segments while preventing leakage of contents.","Doyen Forceps, Atraumatic Intestinal Clamp",https://www.amazon.in/FusionKraft-Intestinal-Non-Crushing-Atraumatic-Longitudnal/dp/B0BS1JSSBX
66,66_payr pylorus clamp.png,"PAYR INTESTINAL/PYLORUS CLAMP 146MM LONG SERR with O PIN 12.5"" 318MM - Surgical Instruments. (2016, October 4). Saharan Surgical. https://surgical.saharan.co.uk/product/payr-intestinalpylorus-clamp-146mm-long-serr-with-o-pin-12-5-318mm/",Payr Pylorus Clamp,"A robust, crushing clamp with strong serrations, designed to occlude the pylorus during gastric surgeries.","Used in gastric resections, such as partial gastrectomy, to control the pyloric region before stapling or suturing.",Payr’s Crushing Clamp or simply Payr Clamp.,https://surgical.saharan.co.uk/product/payr-intestinalpylorus-clamp-146mm-long-serr-with-o-pin-12-5-318mm/
67,67_mayo robson intestinal forceps.png,[Mayo Robson Intestinal Forceps]. (n.d.). https://surtex-instruments.com/product/mayo-robson-intestinal-clamp/,Mayo Robson Intestinal Forceps,"A non-crushing intestinal clamp with broad, slightly curved jaws for atraumatic tissue handling.",Used in gastrointestinal surgeries to handle and temporarily occlude the intestines during anastomoses.,Mayo-Robson Clamp,"https://surtex-instruments.com/product/mayo-robson-intestinal-clamp/
"
68,68_surgical staplers.png,MIRUS Skin Staplers: Surgical skin staplers | Meril Life. (n.d.). Meril Life. https://www.merillife.com/medical-devices/endosurgery/endo-mechancial-staplers/open-surgery/mirus-skin-stapler,Surgical Staplers,"Mechanical devices used to place rows of surgical staples for tissue approximation. Available in linear, circular, and skin stapler variations.","Used in various surgeries, including gastrointestinal, thoracic, and skin closure, to create secure, rapid closures.","Skin Stapler, Linear Stapler, Circular Stapler",https://www.merillife.com/medical-devices/endosurgery/endo-mechancial-staplers/open-surgery/mirus-skin-stapler
69,,,,,,,
70,70_yankauer suction tip.png,[Yankauer Suction Tip]. (n.d.). http://centramedphils.com/product/yankauer-suction-tip/,Yankauer Suction Tip,"A rigid, curved suction tip with a bulbous head and side holes for controlled fluid suctioning.
","Used in general surgeries and oral procedures for clearing blood, fluids, or secretions from the operative field.",Yankauer Suction Catheter,"http://centramedphils.com/product/yankauer-suction-tip/
"
71,71_poole suction tip.png,"Surtex Instruments.com. (2024a, February 27). SURTEX® Poole Suction Tube - Straight & Curved Shank. https://surtex-instruments.com/product/poole-suction-tube/",Poole Suction Tip,A long suction tip with multiple perforations to prevent clogging while removing large volumes of fluid.,"Used in open abdominal surgeries, such as exploratory laparotomies, to efficiently remove irrigation fluid and blood.",Abdominal Suction Tip,https://surtex-instruments.com/product/poole-suction-tube/
72,,,,,,,
73,,,,,,,
74,"74_arthroscopic camera and light.png
",Arthroscopy - OrthoInfo - AAOS. (n.d.). https://orthoinfo.aaos.org/en/treatment/arthroscopy/,Arthroscopic Camera and Light,"A high-resolution, fiber-optic camera attached to a long, rigid scope designed for visualization inside a joint. It is connected to a light source that provides bright, focused illumination, allowing clear magnified imaging of intra-articular structures on a monitor","Provides a clear, magnified view of the knee joint, including the ACL, meniscus, cartilage, and surrounding structures.","Arthroscope, Endoscopic Camera System, Surgical Video Camera",https://orthoinfo.aaos.org/en/treatment/arthroscopy/
75,75_arthroscopic sheath and trocar.png,[Arthroscopic Sheath and Trocar]. (n.d.). https://www.indiamart.com/proddetail/arthroscope-trocar-set-sheath-high-quality-ss-instruments-25832895712.html,Arthroscopic Sheath and Trocar,"A hollow tube that allows for the insertion of the arthroscope and surgical instruments into the joint space. The trocar is a sharp, pointed or blunt-tipped rod that helps create an entry pathway into the joint by penetrating soft tissues and then being removed, leaving the sheath in place.",Helps establish entry points into the knee joint for the arthroscope and surgical instruments. Facilitates smooth insertion and movement of arthroscopic tools during ACL reconstruction.,"Arthroscopy Cannula and Trocar, Endoscopic Sheath and Obturator",https://www.indiamart.com/proddetail/arthroscope-trocar-set-sheath-high-quality-ss-instruments-25832895712.html
76,76_arthroscopic probe.png,[Arthroscopic Probe]. (n.d.). https://www.indiamart.com/proddetail/oc-knee-arthroscopic-probe-2849321629573.html,Arthroscopic Probe,"A thin, handheld instrument with a curved or hooked tip, designed for palpating, probing, and assessing intra-articular structures. It is usually graduated with markings to measure the depth and size of lesions.","Used to examine the ACL fibers for partial or complete tears. Helps probe for instability, defects, or tears in the meniscus or articular cartilage.","Joint Probe, Hook Probe, Examination Probe",https://www.indiamart.com/proddetail/oc-knee-arthroscopic-probe-2849321629573.html
77,77_arthroscopic grasper.png,"WISAP 7235 Arthroscopy Grasper. (n.d.). West Coast Medical Equipment Services, Inc. https://www.westcoastmedicalequipment.com/wisap-7235-arthroscopy-grasper.html",Arthroscopic Grasper,"A long, slender instrument with finger-ring handles and a jawed tip, designed for grasping, holding, and manipulating tissues or surgical implants during arthroscopic procedures.",Grasping and manipulating torn ACL remnants for debridement. Holding and positioning soft tissues such as meniscus or synovial tissue. Assisting in suture passing and knot tying when securing the ACL graft.,"Laparoscopic Grasper, Arthroscopic Tissue Forceps, Arthroscopic Grabber",https://www.westcoastmedicalequipment.com/wisap-7235-arthroscopy-grasper.html
78,78_arthroscopic scissor.png,"BioMedical, B. (n.d.). Buxton Biomedical. Buxton Biomedical. https://buxtonbio.com/shoulder/arthroscopic_instruments/arthroscopic_forceps__scissors",Arthroscopic Scissor,"Long, slender instruments designed for cutting soft tissues, sutures, and fibrous structures inside a joint.",Cutting ACL remnants to clear the surgical field before graft placement. Trimming excess sutures after securing the ACL graft. Cutting synovial tissue or adhesions to improve joint mobility.,"Endoscopic Scissors, Arthroscopic Cutting Forceps",https://buxtonbio.com/shoulder/arthroscopic_instruments/arthroscopic_forceps__scissors
79,79_graft harvesting knife.png,[Graft Harvesting Knife]. (n.d.). https://www.indiamart.com/proddetail/humby-skin-grafting-knife-9431006948.html,Graft Harvesting Knife,"A graft harvesting knife is a sharp, specialized surgical instrument used to precisely cut and harvest tendon grafts for ligament reconstruction procedures. It has a long, slender handle for controlled maneuvering and a razor-sharp, curved or straight blade designed to make clean incisions with minimal damage to surrounding tissues.","Harvesting autografts, such as the hamstring (semitendinosus and gracilis) or patellar tendon, for ACL reconstruction. Making precise cuts to ensure an optimal graft size and shape. Minimizing trauma to surrounding soft tissues during graft extraction.","ACL Graft Knife, Tendon Stripper Knife, Hamstring Graft Knife.",https://www.indiamart.com/proddetail/humby-skin-grafting-knife-9431006948.html
80,80_graft tensioner.png,"Medhold Medical. (2024, March 27). SETM Graft Tensioner-Orthopaedic Solutions – Knee – Products – Ligament Reconstruction – Instrumentation-Medical-equipment-South-Africa - Medhold Medical. Medhold Medical -. https://medhold.co.za/se-graft-tensioner-orthopaedic-solutions-knee-products-ligament-reconstruction-instrumentation/",Graft Tensioner,"Consists of a clamping mechanism to hold the graft, a tension-adjustment system, and a scale to measure the applied force.",Pre-tensioning the ACL graft before fixation to prevent laxity. Ensuring proper graft tension to improve stability and biomechanics. Reducing graft creep (elongation over time) by simulating physiological load before implantation.,,https://medhold.co.za/se-graft-tensioner-orthopaedic-solutions-knee-products-ligament-reconstruction-instrumentation/
81,81_cannulated drill bits.png,"Cannulated Drill Bits. (2023, December 28). IWET - Surgical Implants for Animals | Veterinary Tools. https://iwet.vet/en/produkt/cannulated-drill-bits/",Cannulated Drill Bits,"Hollow, cylindrical surgical drills designed to be used over a guidewire for precise bone drilling.",Drilling femoral and tibial tunnels for ACL graft placement. Ensuring accurate tunnel positioning by following the guidewire trajectory. Minimizing bone damage and misalignment compared to solid drill bits.,"Guidewire Drill Bits, Hollow Core Drill Bits, Cannulated Bone Drills",https://iwet.vet/en/produkt/cannulated-drill-bits/
82,82_reamers.png ,Reamer surgical power tool by Aygun Surgical Instruments | MedicalExpo. (n.d.). https://www.medicalexpo.com/prod/aygun-surgical-instruments/product-104196-836411.html,Reamers,"With rotating, fluted tips designed to enlarge and smooth bone tunnels or cavities. They are used to create or refine precise-sized tunnels",Enlarging bone tunnels for ACL graft fixation (femoral and tibial tunnels). Refining the tunnel shape and smoothness to ensure optimal graft placement and secure fixation.,"Bone Reamers, Surgical Reamers, Tibial/Femoral Reamers",https://www.medicalexpo.com/prod/aygun-surgical-instruments/product-104196-836411.html
83,83_oscillating saw.png,Electric Bone Cutting Oscillating Saw bone saw Orthopedic Surgical Instruments | eBay. (n.d.). eBay. https://www.ebay.ph/itm/265165676490,Oscillating Saw,"Features a motorized blade that moves in a rapid side-to-side (oscillating) motion, allowing for precise and controlled bone cutting while minimizing soft tissue damage. ","Cutting through large bones, such as the femur, tibia, humerus, or radius/ulna, during amputation. Providing a clean, smooth bone surface to facilitate proper stump closure and prosthetic fitting.","Power Amputation Saw, Orthopedic Oscillating Saw, Electric Bone Saw",https://www.ebay.ph/itm/265165676490
84,84_gigli saw with handles.png,"(saw, Gigli) HANDLE, pair, solid 57-64-02. (n.d.). Unicat. https://unicat.msf.org/cat/product/14250?category=20690",Gigli Saw with Handles,"A flexible, serrated wire used for cutting through bone, especially in cranial procedures.",Used in craniotomies and amputations to remove bone sections cleanly.,Wire Saw,https://unicat.msf.org/cat/product/14250?category=20690
85,85_stryker bone clippers.png,"BR Surgical LLC. (2021, June 26). LISTON Bone Cutting Forcep - BR surgical. BR Surgical. https://brsurgical.com/product/liston-bone-cutting-forcep/",Stryker Bone Clippers,"Have strong, sharp, scissor-like jaws that provide clean and precise bone cuts with minimal effort.",Trimming and cutting bone edges during amputations or reconstructive procedures. Removing small bone fragments in trauma and orthopedic surgeries. Shaping bone grafts for better fitting during joint or spinal procedures.,"Stryker Bone Cutter, Stryker Rongeur, Orthopedic Bone Cutting Forceps",https://brsurgical.com/product/liston-bone-cutting-forcep/
86,86_bone rongeurs and curettes.png,GermedUSAIT. (n.d.-a). Bone rongeurs- Ideal instruments for bone trimming | BLOG. GerDentUSA. https://www.gerdentusa.com/blog/bone-rongeurs-ideal-instruments-for-bone-trimming,Bone Rongeurs and Curettes,"Heavy-duty, plier-like instruments with sharp, scoop-shaped jaws designed for biting, nibbling, and removing small bone fragments.","Removing small bone pieces in orthopedic, neurosurgical, and spinal procedures. Trimming bone edges in amputations and joint surgeries.
",Bone Nippers,https://www.gerdentusa.com/blog/bone-rongeurs-ideal-instruments-for-bone-trimming
87,87_bone mallet.png,Ubuy Philippines. (n.d.). 32oz Heavy Bone Mallet - Orthopedic Surgical Philippines | Ubuy. https://www.ubuy.com.ph/product/14OY9CVS-surgicalonline-heavy-bone-mallet-orthopedic-surgical-instruments-32oz,Bone Mallet,"A surgical tool with a handle, often made of stainless steel, and a softer head made from bone, plastic, or rubber. It delivers controlled blows to bones or tissues during orthopedic procedures, minimizing damage while allowing precise force application for tasks like implant insertion or bone manipulation.","Commonly used in procedures such as joint replacements, bone fractures, or during the insertion of implants. It is also employed during the shaping and fitting of prosthetic devices.","Orthopedic Mallet, Surgical Hammer",https://www.ubuy.com.ph/product/14OY9CVS-surgicalonline-heavy-bone-mallet-orthopedic-surgical-instruments-32oz
88,88_harmonic scalpel.png,Reprocessed HARMONIC shears. (n.d.). https://www.stryker.com/us/en/sustainability/products/harmonic.html,Harmonic Scalpel or Ligasure,Energy-based surgical instruments that use ultrasonic vibrations (Harmonic) or bipolar energy (Ligasure) to cut and seal tissues.,"Used in laparoscopic and open surgeries for vessel sealing, tissue dissection, and coagulation with minimal thermal spread.
","Ultrasonic Scalpel (Harmonic), Vessel Sealing Device (Ligasure)",https://www.stryker.com/us/en/sustainability/products/harmonic.html
89,89_endo gia stapler.png,Endo GIATM Ultra Universal Stapler. (n.d.). Medtronic. https://www.medtronic.com/en-us/healthcare-professionals/products/surgical-stapling/surgical-staplers/laparoscopic-staplers/endo-gia-ultra-universal-stapler.html,Endo GIA Stapler,A laparoscopic stapling device that places multiple rows of staples and can cut between them for tissue resection.,"Used in gastrointestinal surgeries, such as sleeve gastrectomy or bowel resection, for secure, efficient anastomoses and resections.",Endoscopic Linear Stapler,https://www.medtronic.com/en-us/healthcare-professionals/products/surgical-stapling/surgical-staplers/laparoscopic-staplers/endo-gia-ultra-universal-stapler.html
90,,,,,,,
91,"91_specimen grasper.png
","Forceps, specimen paddle. (2025, January 17). Mortech Manufacturing. https://www.mortechmfg.com/product/forceps-specimen-paddle/",Specimen Grasper,"A forceps designed with broad, secure jaws to firmly grasp and transport excised tissue specimens without causing damage.","Used for handling and transferring specimens from the surgical field to a specimen container, ensuring minimal tissue trauma.","Specimen forceps, Specimen retrieval forceps.",https://www.mortechmfg.com/product/forceps-specimen-paddle/
92,92_weitlaner retractor.png,Wexler Surgical. (n.d.). Weitlaner Retractor | Stainless steel | Surgical instrument. https://www.wexlersurgical.com/weitlaner-retractor-blunt-3x4-teeth-stainless-steel-5quot-14cm-p-2445.html?type=search-instrument-type,Weitlaner Retractor,A self-retaining retractor with hinged arms and sharp or blunt prongs that spread apart to hold tissues open.,Used in neurosurgery and orthopedic procedures to maintain exposure of surgical sites without manual assistance.,Self-Retaining Retractor,https://www.wexlersurgical.com/weitlaner-retractor-blunt-3x4-teeth-stainless-steel-5quot-14cm-p-2445.html?type=search-instrument-type
93,93_gelpi retractor.png,"GELPi Retractor, Self-Retaining. (n.d.). https://www.wpiinc.com/var-501720-gelpi-retractor-self-retaining.html",Gelpi Retractor,"A self-retaining retractor with sharp, curved prongs that provide strong tissue retraction.","Used in spinal and neurosurgical procedures to maintain an open surgical field with minimal tissue trauma.
",Gelpi Self-Retaining Retractor,https://www.wpiinc.com/var-501720-gelpi-retractor-self-retaining.html
94,94_leyla retractor system.png,[Leyla Retractor System]. (n.d.). https://www.indiamart.com/proddetail/leyla-retractors-neurosurgical-brain-retractor-20761361788.html,Leyla Retractor System,"A self-retaining, adjustable arm system with flexible retractors used to gently hold brain tissue.","Used in craniotomies and brain surgeries to provide stable, hands-free exposure of delicate structures.",Neurosurgical Brain Retractor,https://www.indiamart.com/proddetail/leyla-retractors-neurosurgical-brain-retractor-20761361788.html
95,95_greenberg retractor system.png,[Greenberg Retractor System]. (2019). https://www.prnewswire.com/news-releases/symmetry-surgical-extends-trusted-greenberg-brand-with-innovation-at-aans-300831703.html,Greenberg Retractor System,"A self-retaining, multi-arm retractor system designed for neurosurgical exposure with minimal brain retraction trauma.","Used in skull base and deep brain surgeries for precise and adjustable retraction of brain tissues
",Greenberg Brain Retractor,https://www.prnewswire.com/news-releases/symmetry-surgical-extends-trusted-greenberg-brand-with-innovation-at-aans-300831703.html
96,96_scalp clips.png,RANEY Clips | B. Braun. (n.d.). https://catalogs.bbraun.com/en-01/p/PRID00004584/raney-clips-scalp-clips,Scalp Clips,Spring-loaded metal clips used to control scalp bleeding during cranial procedures.,Used in craniotomies to prevent excessive bleeding from the scalp edges.,"Raney Clips, Hemostatic Clips",https://catalogs.bbraun.com/en-01/p/PRID00004584/raney-clips-scalp-clips
97,97_dura hooks.png,Dura Retractor St.&Cu. (n.d.). https://skysurgicals.com/product/dura-retractor-st-cu/,Dura Hooks,"Small, sharp hooks used to grasp and elevate the dura mater during neurosurgical procedures.",Used in craniotomies and spinal surgeries to manipulate the dura while exposing the brain or spinal cord.,Dural Retractors,https://skysurgicals.com/product/dura-retractor-st-cu/
98,98_hudson brace with perforator.png,[Hudson Brace with Perforator]. (n.d.). https://www.indiamart.com/proddetail/hudson-brace-with-perforator-burr-13446296048.html,Hudson Brace with Perforator,A hand-operated drill system with perforator bits used for creating burr holes in the skull.,Used in craniotomies and emergency neurosurgical procedures when powered drills are unavailable.,Manual Cranial Drill,https://www.indiamart.com/proddetail/hudson-brace-with-perforator-burr-13446296048.html
99,99_pneumatic.png,"Wikipedia contributors. (2025, February 5). Cranial drill. Wikipedia. https://en.wikipedia.org/wiki/Cranial_drill",Pneumatic,"High-speed, air-powered perforator attachments used for drilling through the skull with precision.",Used in craniotomy procedures for controlled and safe skull penetration.,"Pneumatic Drill Bits, Cranial Drill",https://en.wikipedia.org/wiki/Cranial_drill
100,100_perforator bits.png,Nouvag. (n.d.). Handpieces. https://nouvag.com/en/products/handpieces/cranial-perforator/,Perforator Bits,"A powered surgical drill with a protective footplate that prevents damage to the underlying brain tissue.
",Used in craniotomy procedures to create bone flaps while preserving dura integrity,Cranial Bone Cutter,https://nouvag.com/en/products/handpieces/cranial-perforator/
101,101_craniotome with footplate.png,Agnthos. (n.d.). Skull Cutters - Skull Flap Cutter |Agntho's. https://agnthos.se/skull-flap-cutter/2563-bone-pliers.html,Craniotome with Footplate,"A powered surgical drill with a protective footplate that prevents damage to the underlying brain tissue.
",Used in craniotomy procedures to create bone flaps while preserving dura integrity.,Cranial Bone Cutter,https://agnthos.se/skull-flap-cutter/2563-bone-pliers.html
102,102_kerrison rongeur.png,"DTR Medical. (2022, May 30). Kerrison Rongeur - DTR Medical. https://dtrmedical.com/product/kerrison-rongeur/",Kerrison Rongeur,"A scissor-like instrument with a sharp, cup-shaped tip used for precise bone removal.
",Used in spinal and cranial surgeries to remove lamina and create space in decompression procedures.,Kerrison Bone Punch,https://dtrmedical.com/product/kerrison-rongeur/
103,103_leksell rongeur.png,Leksell Rongeurs - Life Instruments. (n.d.). Life Instruments. https://lifeinstruments.com/product/leksell-rongeurs-2/,Leksell Rongeur,"A strong, double-action rongeur with a wide, scoop-shaped tip for cutting and removing bone.",Used in neurosurgery and orthopedic procedures for removing thick bone structures.,Heavy-Duty Bone Rongeur,https://lifeinstruments.com/product/leksell-rongeurs-2/
104,104_bone curettes.png,Set 8 Volkmann bone curette sharp spoon dental Medical Surgical tissue surgery | eBay. (n.d.). eBay. https://www.ebay.ph/itm/162349722048,Bone Curettes,Spoon or scoop-shaped instruments with sharp edges used to scrape or remove bone and soft tissues.,"Used in neurosurgical, spinal, and orthopedic procedures to remove bone fragments and clean out lesion sites.",Bone Scrapers,https://www.ebay.ph/itm/162349722048
105,105_bipolar cautery forceps.png,Bovie Reusable bipolar Forceps. (n.d.). https://avantehs.com/s/bovie-reusable-bipolar-forceps/1976,Bipolar Cautery Forceps,A two-pronged electrosurgical instrument that coagulates tissues with minimal thermal spread.,Used in neurosurgical procedures to achieve precise hemostasis around delicate structures.,Bipolar Coagulation Forceps,https://avantehs.com/s/bovie-reusable-bipolar-forceps/1976
106,106_monopolar cautery pencil.png,"vetOvation, Inc. (2024, March 29). Monopolar Reusable Cautery Pencil | Vet Instruments. VetOvation. https://vetovation.com/product/reusable-monopolar-cautery-pencil/",Monopolar Cautery Pencil,A single-prong electrosurgical device that cuts or coagulates tissue using high-frequency current.,Used in general and neurosurgical procedures for tissue dissection and hemostasis.,Bovie Electrocautery Pencil,https://vetovation.com/product/reusable-monopolar-cautery-pencil/
107,107_cotton patties.png,"American Surgical Company. (2023, May 25). What are cottonoids used for?https://www.americansurgical.com/neurosurgery/what-are-cottonoids-used-for/",Cotton Patties,"Small, absorbent pads used to protect brain and spinal cord tissues while maintaining a clear field.",Used in craniotomies and spinal surgeries to control minor bleeding and cushion delicate structures.,"Neurosurgical Cottonoids, Cottonoid Sponges
",https://www.americansurgical.com/neurosurgery/what-are-cottonoids-used-for/
108,108_bone wax.png,Bone wax. (n.d.). B. Braun Melsungen AG. https://www.bbraun-asiapacific.com/en/products/b0/bone-wax-bone-waxstick.html,Bone Wax,A wax-like material applied to bone surfaces to stop bleeding.,Used in neurosurgery and orthopedic procedures to control bleeding from cut bone surfaces.,"Hemostatic Bone Sealant
",https://www.bbraun-asiapacific.com/en/products/b0/bone-wax-bone-waxstick.html
109,109_hemostats.png,GermedUSAIT. (n.d.). What are hemostats? Types of hemostats and their usage in dentistry. GerDentUSA. https://www.gerdentusa.com/blog/what-are-hemostats-types-of-hemostats-and-their-usage-in-dentistry,Hemostats,Locking forceps with curved or straight tips.,Used to clamp blood vessels and control bleeding.,Artery forceps,https://www.gerdentusa.com/blog/what-are-hemostats-types-of-hemostats-and-their-usage-in-dentistry
110,110_iris scissors.png,"precision, Scissor, Eye, Suture. (n.d.). https://www.fishersci.ca/shop/products/premier-iris-scissors/22079747",Iris Scissors,"Small, fine-tipped scissors",Used for fine dissection and trimming tissues.,Fine scissors,https://www.fishersci.ca/shop/products/premier-iris-scissors/22079747
111,111_osteotome.png,[Osteotome]. (n.d.). https://www.teleflexsurgicalcatalog.com/pilling/product/km46366-hibbs-osteotome,Osteotome,A chisel-like instrument with a beveled edge.,Used for controlled bone cutting or reshaping.,Bone chisel,https://www.teleflexsurgicalcatalog.com/pilling/product/km46366-hibbs-osteotome
112,112_Bone Holding Forceps.png,"Surtex Instruments.com. (2024, February 29). SURTEX® Frosch Bone Holding Forcep - Serrated Jaws. https://surtex-instruments.com/product/frosch-bone-holding-forcep/",Bone Holding Forceps,A clamp-like instrument with a locking mechanism.,A clamp-like instrument with a locking mechanism.,Bone clamp,https://surtex-instruments.com/product/frosch-bone-holding-forcep/
113,"113_Periosteal Elevator.png
",Periosteal Elevators | 15% discount | GerMedUSA Inc. (n.d.). https://www.germedusa.com/p-11767-periosteal-elevators.aspx,Periosteal Elevator,"A thin, flat instrument with a curved tip.",Used for lifting periosteum from bone.,Bone elevator,https://www.germedusa.com/p-11767-periosteal-elevators.aspx
